record_id;facility_code;department_id;date;energy_type;scope;consumption_amount;unit;co2_emission_tons
1548;FAC-002;DPT-0007;03-31-2023;Electricity;Scope 2;746.77;kWh;0.4934
1549;FAC-002;DPT-0009;07-13-2024;Diesel;SCOPE 2;856.1;KWH;0.5039
1550;FAC-002;DPT-0008;05-20-2023;DIESEL;SCOPE 1;1248.63;kwh;0.6307
1551;FAC-002;DPT-0009;31.08.2022;ELECTRICITY;Scope 1;;m3;
1552;FAC-002;DPT-0009;03-27-2024;ELECTRICITY;;-371.64;kwh;
1553;FAC-002;;21.01.2024;ELECTRICITY;scope 1;;kWh;0.148
1554;FAC-002;DPT-0008;28.03.2022;DIESEL;SCOPE 1;286.46;m3;0.1513
1555;FAC-002;DPT-0008;10.01.2024;NATURAL GAS;;1345.61;M3;0.375
1556;FAC-002;DPT-0006;1.08.2023;diesel;scope 2;577.9;LT;0.1531
1557;FAC-002;DPT-0008;15.11.2023;LPG;Scope 2;875.54;liter;0.3263
1558;FAC-002;DPT-0009;13.06.2024;ELECTRICITY;scope 2;446.82;KWH;0.3365
1559;FAC-002;DPT-0009;29.04.2024;ELECTRICITY;SCOPE 2;;Liter;0.1936
1560;FAC-002;;21.09.2024;ELECTRICITY;SCOPE 2;1108.33;kWh;0.3545
1561;FAC-002;DPT-0010;20.05.2022;lpg;SCOPE 2;-1145.54;kWh;
1562;FAC-002;DPT-0006;24.10.2024;Petrol;SCOPE 2;385.67;LT;0.1362
1563;FAC-002;DPT-0010;14.05.2022;DIESEL;;844.17;KWH;0.4607
1564;FAC-002;DPT-0010;23.07.2022;Natural Gas;;453.19;M3;0.141
1565;FAC-002;DPT-0010;23.10.2023;electricity;Scope 2;821.59;M3;0.3204
1566;FAC-002;DPT-0010;25.06.2023;Diesel;scope 1;540.49;kWh;0.1399
1567;FAC-002;;5.08.2022;Diesel;Scope 1;2715.2;kwh;21.516
1568;FAC-002;DPT-0008;21.06.2022;natural gas;;1543.0;kwh;12.476
1569;FAC-002;DPT-0009;17.08.2023;Electricity;SCOPE 1;1179.86;liter;0.8124
1570;FAC-002;DPT-0007;31.12.2023;diesel;Scope 2;725.27;LT;0.2336
1571;FAC-002;DPT-0006;6.04.2022;DIESEL;scope 2;1572.4;LT;
1572;FAC-002;DPT-0007;5.04.2024;LPG;SCOPE 1;862.07;kwh;unknown
1573;FAC-002;DPT-0010;30.10.2024;DIESEL;;2542.59;LT;0.8879
1574;FAC-002;;1.07.2022;Diesel;SCOPE 1;-;Liter;0.6496
1575;FAC-002;DPT-0010;4.05.2023;lpg;;676.49;Liter;0.241
1576;FAC-002;DPT-0010;26.03.2024;NATURAL GAS;Scope 1;2361.44;liter;17.307
1577;FAC-002;DPT-0010;29.05.2024;NATURAL GAS;;728.06;M3;0.4209
1578;FAC-002;DPT-0007;30.12.2023;Natural Gas;;2814.69;M3;0.8763
1579;FAC-002;DPT-0010;29.06.2023;Diesel;Scope 2;2441.24;kWh;20.167
1580;FAC-002;DPT-0008;15.12.2024;Petrol;SCOPE 1;1104.19;liter;0.3763
1581;FAC-002;DPT-0006;20.08.2022;lpg;Scope 2;-224.02;Liter;
1582;FAC-002;DPT-0007;10.08.2022;Natural Gas;;1045.81;liter;0.8093
1583;FAC-002;DPT-0007;03-31-2024;lpg;Scope 1;-;kwh;0.1558
1584;FAC-002;DPT-0008;05-28-2024;LPG;Scope 1;553.55;m3;0.2255
1585;FAC-002;DPT-0010;18.09.2024;diesel;scope 1;586.91;M3;0.4443
1586;FAC-002;DPT-0010;6.01.2022;DIESEL;scope 1;349.19;KWH;0.2018
1587;FAC-002;DPT-0009;31.10.2023;electricity;;1048.55;liter;0.8883
1588;FAC-002;DPT-0010;21.03.2024;diesel;;502.84;M3;0.312
1589;FAC-002;DPT-0008;06-19-2023;LPG;Scope 1;753.16;KWH;0.58
1590;FAC-002;DPT-0010;9.05.2024;Natural Gas;;590.83;kWh;0.1685
1591;FAC-002;;19.03.2024;Diesel;scope 2;1252.26;m3;
1592;FAC-002;DPT-0007;25.04.2022;DIESEL;Scope 1;1191.57;kWh;0.712
1593;FAC-002;DPT-0010;22.12.2024;NATURAL GAS;scope 1;-708.92;kWh;
1594;FAC-002;DPT-0009;9.06.2024;DIESEL;;1294.49;kWh;0.5364
1595;FAC-002;DPT-0007;05-17-2024;DIESEL;;;Liter;14.253
1596;FAC-002;;29.03.2023;diesel;Scope 1;105.94;liter;0.0871
1597;FAC-002;DPT-0008;25.09.2022;Diesel;scope 2;564.69;M3;0.2782
1598;FAC-002;DPT-0008;19.01.2022;electricity;scope 1;411.47;KWH;0.1885
1599;FAC-002;DPT-0009;08-28-2024;Diesel;scope 1;525.54;Liter;0.4093
1600;FAC-002;DPT-0006;7.09.2022;diesel;SCOPE 2;83.8;liter;0.0351
1601;FAC-002;;23.11.2024;DIESEL;;100.71;kwh;0.0576
1602;FAC-002;;01-28-2022;DIESEL;scope 1;606.61;liter;0.4728
1603;FAC-002;DPT-0009;20.04.2022;diesel;SCOPE 2;593.3;m3;0.4083
1604;FAC-002;DPT-0008;1.03.2024;Electricity;;2149.7;Liter;0.9833
1605;FAC-002;DPT-0008;19.09.2022;LPG;Scope 2;991.87;Liter;0.8121
1606;FAC-002;DPT-0008;01-23-2024;LPG;;none;Liter;10.392
1607;FAC-002;DPT-0006;7.05.2024;diesel;;6724.84;KWH;5.492
1608;FAC-002;DPT-0009;7.12.2022;electricity;Scope 1;106.4;m3;0.0421
1609;FAC-002;DPT-0009;26.12.2023;LPG;Scope 1;2569.75;KWH;19.062
1610;FAC-002;DPT-0007;3.02.2023;Diesel;Scope 2;866.48;Liter;0.3492
1611;FAC-002;DPT-0007;04-16-2023;Electricity;Scope 1;645.59;KWH;0.5076
1612;FAC-002;DPT-0009;18.05.2022;natural gas;scope 1;571.85;M3;0.3163
1613;FAC-003;DPT-0013;7.03.2023;natural gas;SCOPE 1;1129.93;LT;0.5723
1614;FAC-003;DPT-0016;19.10.2023;LPG;SCOPE 1;649.83;kwh;0.2042
1615;FAC-003;DPT-0015;21.05.2024;diesel;scope 1;340.45;kWh;0.2637
1616;FAC-003;DPT-0014;16.07.2023;LPG;scope 1;588.78;M3;0.1941
1617;FAC-003;;02-20-2024;electricity;SCOPE 2;1152.23;kwh;0.792
1618;FAC-003;DPT-0016;3.05.2023;ELECTRICITY;scope 1;1424.94;KWH;0.7406
1619;FAC-003;DPT-0014;7.03.2023;diesel;Scope 1;;m3;21.952
1620;FAC-003;DPT-0011;3.02.2022;lpg;;;LT;0.3732
1621;FAC-003;DPT-0011;11.09.2024;ELECTRICITY;Scope 1;2042.84;KWH;12.846
1622;FAC-003;DPT-0014;27.04.2023;NATURAL GAS;scope 2;774.29;m3;0.3277
1623;FAC-003;DPT-0015;11.10.2022;natural gas;SCOPE 2;854.56;liter;0.6167
1624;FAC-003;DPT-0016;4.02.2022;Diesel;scope 1;821.92;kWh;0.2227
1625;FAC-003;DPT-0013;6.02.2022;Electricity;Scope 1;1044.32;liter;0.6297
1626;FAC-003;DPT-0014;03-15-2024;NATURAL GAS;SCOPE 1;1595.41;KWH;
1627;FAC-003;DPT-0012;26.10.2023;Diesel;SCOPE 2;629.23;LT;0.1579
1628;FAC-003;DPT-0013;02-19-2023;diesel;scope 1;430.2;liter;0.3038
1629;FAC-003;DPT-0015;1.02.2022;Natural Gas;;1679.85;KWH;0.8114
1630;FAC-003;DPT-0016;3.04.2022;Petrol;;1602.06;kwh;
1631;FAC-003;DPT-0015;30.04.2023;Electricity;SCOPE 1;2250.34;kwh;10.717
1632;FAC-003;DPT-0013;18.01.2023;Electricity;SCOPE 2;555.41;KWH;0.4599
1633;FAC-003;;13.10.2022;DIESEL;scope 2;753.73;Liter;0.5942
1634;FAC-003;DPT-0011;10.10.2022;NATURAL GAS;;1721.34;kwh;0.9022
1635;FAC-003;DPT-0016;8.07.2022;lpg;;623.57;kwh;0.3972
1636;FAC-003;DPT-0012;2.06.2022;Electricity;SCOPE 2;1385.08;Liter;0.7431
1637;FAC-003;DPT-0015;4.03.2022;Diesel;scope 1;776.78;kWh;0.3311
1638;FAC-003;DPT-0013;12.04.2022;LPG;;1125.76;m3;0.2815
1639;FAC-003;DPT-0014;10.06.2022;DIESEL;scope 1;334.42;kwh;0.0942
1640;FAC-003;DPT-0016;21.09.2024;LPG;scope 1;953.05;kwh;
1641;FAC-003;DPT-0012;4.02.2024;DIESEL;SCOPE 1;1942.43;kWh;
1642;FAC-003;DPT-0016;1.02.2024;Petrol;scope 1;1508.64;LT;unknown
1643;FAC-003;DPT-0016;13.01.2024;DIESEL;Scope 1;406.65;kwh;NULL
1644;FAC-003;;31.01.2022;DIESEL;SCOPE 2;2599.88;KWH;1.321
1645;FAC-003;DPT-0013;16.10.2022;diesel;;1866.14;liter;0.8329
1646;FAC-003;DPT-0014;25.08.2024;Diesel;SCOPE 1;348.69;kwh;0.2117
1647;FAC-003;DPT-0013;25.05.2022;NATURAL GAS;scope 2;591.94;kWh;0.1773
1648;FAC-003;DPT-0016;08-17-2024;Natural Gas;scope 2;366.37;LT;0.1403
1649;FAC-003;DPT-0012;4.05.2022;NATURAL GAS;;1147.63;kWh;0.9193
1650;FAC-003;DPT-0015;6.09.2023;diesel;Scope 2;571.59;M3;0.4823
1651;FAC-003;DPT-0012;3.09.2023;electricity;Scope 1;136.02;Liter;0.1141
1652;FAC-003;DPT-0014;8.07.2024;natural gas;scope 2;851.74;KWH;0.5731
1653;FAC-003;DPT-0012;11.03.2022;natural gas;scope 2;1636.42;KWH;
1654;FAC-003;DPT-0013;24.04.2023;ELECTRICITY;SCOPE 1;967.16;LT;0.6283
1655;FAC-003;DPT-0011;28.08.2023;LPG;;1301.76;kWh;0.8618
1656;FAC-003;DPT-0016;04-24-2023;NATURAL GAS;SCOPE 1;;kwh;0.7031
1657;FAC-003;DPT-0016;2.01.2024;Electricity;scope 1;1467.33;liter;0.7522
1658;FAC-003;DPT-0011;1.10.2023;LPG;SCOPE 2;1099.0;LT;0.3479
1659;FAC-003;DPT-0011;24.07.2022;lpg;Scope 2;817.91;kwh;0.226
1660;FAC-003;DPT-0013;27.02.2022;LPG;SCOPE 1;958.64;kWh;0.579
1661;FAC-003;DPT-0016;25.01.2022;lpg;SCOPE 1;-2303.74;kWh;
1662;FAC-003;DPT-0011;6.08.2023;ELECTRICITY;SCOPE 2;1351.72;KWH;0.6854
1663;FAC-003;DPT-0013;1.06.2024;Natural Gas;scope 2;405.49;Liter;0.2514
1664;FAC-003;DPT-0011;27.01.2022;Diesel;;;kWh;0.4687
1665;FAC-003;DPT-0014;10.05.2023;diesel;SCOPE 2;1133.51;kwh;0.3134
1666;FAC-003;DPT-0016;7.02.2024;Electricity;Scope 1;797.99;liter;0.6056
1667;FAC-003;DPT-0012;14.12.2023;ELECTRICITY;;136.85;m3;0.0349
1668;FAC-003;DPT-0012;6.06.2023;Petrol;Scope 1;441.91;kwh;0.1592
1669;FAC-003;DPT-0012;15.07.2022;Electricity;Scope 1;651.21;kWh;0.2493
1670;FAC-003;DPT-0016;27.04.2024;NATURAL GAS;Scope 2;N/A;kWh;0.7073
1671;FAC-003;DPT-0011;01-14-2022;LPG;scope 2;1254.04;LT;0.6476
1672;FAC-003;DPT-0015;17.01.2023;electricity;;216.13;M3;0.1814
1673;FAC-003;;2.01.2023;lpg;scope 1;835.99;LT;0.3295
1674;FAC-003;DPT-0011;16.09.2022;DIESEL;SCOPE 1;2077.02;KWH;17.447
1675;FAC-003;DPT-0012;2.06.2024;ELECTRICITY;scope 1;565.18;KWH;0.3281
1676;FAC-003;DPT-0011;20.01.2024;ELECTRICITY;;1764.06;KWH;1.404
1677;FAC-003;DPT-0012;3.10.2023;lpg;;223.31;LT;0.1004
1678;FAC-003;DPT-0014;27.11.2023;DIESEL;Scope 2;26.44;KWH;
1679;FAC-003;DPT-0012;11.08.2024;natural gas;SCOPE 2;1936.14;kWh;Oca.16
1680;FAC-003;DPT-0012;21.04.2022;diesel;Scope 2;625.29;M3;0.4392
1681;FAC-003;DPT-0012;7.01.2022;NATURAL GAS;;664.59;M3;
1682;FAC-003;DPT-0016;8.01.2024;Petrol;Scope 2;1026.77;kWh;
1683;FAC-003;DPT-0016;04-14-2022;lpg;scope 1;;m3;0.3325
1684;FAC-003;DPT-0014;31.07.2022;natural gas;Scope 2;54.35;kWh;0.0413
1685;FAC-003;DPT-0015;4.06.2023;Natural Gas;Scope 1;529.93;kWh;
1686;FAC-003;DPT-0012;25.03.2024;ELECTRICITY;Scope 2;935.24;kwh;0.4807
1687;FAC-003;DPT-0016;1.06.2022;NATURAL GAS;;1222.17;kWh;0.7442
1688;FAC-003;DPT-0016;3.01.2022;Natural Gas;SCOPE 2;401.32;KWH;0.1529
1689;FAC-003;DPT-0012;31.08.2022;DIESEL;Scope 1;767.22;kWh;0.5607
1690;FAC-003;DPT-0013;16.03.2024;Electricity;;563.77;m3;0.2822
1691;FAC-003;DPT-0011;5.04.2022;Petrol;SCOPE 2;1051.23;M3;0.77
1692;FAC-003;;20.09.2023;Natural Gas;Scope 2;1891.34;liter;0.9171
1693;FAC-003;DPT-0015;12.12.2022;electricity;;693.08;KWH;0.3619
1694;FAC-003;DPT-0013;5.12.2023;lpg;scope 2;263.91;M3;0.131
1695;FAC-003;DPT-0015;29.12.2024;Petrol;SCOPE 1;506.63;liter;0.3201
1696;FAC-003;DPT-0013;02-18-2024;Natural Gas;Scope 2;2583.33;Liter;17.482
1697;FAC-003;DPT-0016;01-18-2023;LPG;Scope 1;443.39;Liter;0.374
1698;FAC-003;DPT-0013;9.05.2023;ELECTRICITY;scope 2;316.24;LT;
1699;FAC-003;DPT-0016;10.03.2024;LPG;SCOPE 2;660.75;LT;0.5075
1700;FAC-003;DPT-0015;19.11.2023;natural gas;Scope 2;836.14;liter;0.5705
1701;FAC-003;DPT-0013;26.10.2024;ELECTRICITY;;591.76;m3;0.4786
1702;FAC-003;DPT-0012;17.01.2022;natural gas;SCOPE 2;224.58;KWH;0.106
1703;FAC-003;DPT-0014;20.02.2024;NATURAL GAS;;1123.88;kwh;0.4988
1704;FAC-003;DPT-0011;24.01.2024;ELECTRICITY;SCOPE 2;1052.0;kwh;0.8821
1705;FAC-003;DPT-0013;5.02.2023;electricity;;none;KWH;11.769
1706;FAC-003;DPT-0013;25.04.2024;LPG;;1035.35;m3;0.7618
1707;FAC-003;DPT-0011;12.10.2024;natural gas;scope 1;;kwh;15.608
1708;FAC-003;;07-30-2023;electricity;Scope 2;1506.55;Liter;0.7804
1709;FAC-003;DPT-0016;8.01.2024;NATURAL GAS;;1309.82;kWh;0.6677
1710;FAC-003;DPT-0012;19.12.2024;natural gas;scope 1;1936.43;m3;1.569
1711;FAC-003;DPT-0012;21.01.2023;DIESEL;Scope 1;991.24;KWH;0.4859
1712;FAC-003;;2.01.2024;DIESEL;SCOPE 1;779.56;kWh;0.6275
1713;FAC-003;DPT-0016;8.11.2022;LPG;scope 1;1115.06;kwh;
1714;FAC-003;DPT-0014;24.02.2022;NATURAL GAS;Scope 2;128.9;KWH;0.1053
1715;FAC-003;DPT-0014;13.03.2022;ELECTRICITY;Scope 2;993.5;liter;N/A
1716;FAC-003;DPT-0012;24.02.2022;LPG;scope 1;835.47;LT;0.4048
1717;FAC-003;DPT-0016;13.03.2023;electricity;scope 1;1200.32;kwh;0.7433
1718;FAC-003;DPT-0014;23.12.2022;NATURAL GAS;scope 2;1767.51;LT;10.951
1719;FAC-003;DPT-0012;24.05.2024;diesel;scope 2;1335.76;kWh;0.5147
1720;FAC-003;DPT-0011;7.03.2024;DIESEL;SCOPE 1;507.77;kwh;0.2668
1721;FAC-003;DPT-0011;07-24-2022;LPG;Scope 2;1582.34;kwh;0.8621
1722;FAC-003;DPT-0014;21.06.2023;NATURAL GAS;;2471.46;LT;18.662
1723;FAC-003;DPT-0013;20.03.2023;electricity;scope 1;1797.47;kWh;0.6757
1724;FAC-003;DPT-0013;12.11.2022;electricity;scope 2;287.37;liter;0.0984
1725;FAC-003;DPT-0015;11.04.2022;Natural Gas;;1326.24;m3;0.6002
1726;FAC-003;DPT-0015;3.08.2022;Electricity;;#N/A;Liter;0.2176
1727;FAC-003;DPT-0013;28.01.2022;Natural Gas;;722.85;kwh;0.464
1728;FAC-003;;08-27-2024;Diesel;SCOPE 1;1176.07;Liter;0.7625
1729;FAC-003;DPT-0011;23.12.2022;natural gas;SCOPE 1;1071.24;liter;
1730;FAC-003;DPT-0011;05-27-2024;Electricity;SCOPE 1;1774.72;liter;14.215
1731;FAC-003;DPT-0013;4.05.2022;Electricity;scope 1;2479.11;kWh;13.585
1732;FAC-003;DPT-0012;13.10.2024;electricity;SCOPE 1;1258.28;kwh;0.3683
1733;FAC-003;DPT-0015;6.04.2024;diesel;;681.12;liter;0.4631
1734;FAC-003;DPT-0014;17.09.2024;ELECTRICITY;scope 1;136.56;kwh;0.0477
1735;FAC-003;DPT-0011;22.12.2024;Petrol;;2068.43;liter;0.938
1736;FAC-003;DPT-0012;25.09.2023;ELECTRICITY;SCOPE 1;838.74;liter;0.5544
1737;FAC-003;DPT-0015;8.01.2023;ELECTRICITY;scope 1;871.59;kWh;0.6287
1738;FAC-003;DPT-0013;02-14-2024;NATURAL GAS;;923.38;M3;0.66
1739;FAC-003;DPT-0011;09-20-2023;diesel;;1219.05;LT;10.129
1740;FAC-003;DPT-0015;9.05.2024;Diesel;scope 2;1243.75;liter;0.5419
1741;FAC-003;;12-24-2023;lpg;Scope 2;731.69;LT;0.1974
1742;FAC-003;DPT-0014;9.08.2024;ELECTRICITY;SCOPE 1;832.57;Liter;0.4904
1743;FAC-003;DPT-0012;12.08.2024;electricity;scope 2;555.96;Liter;0.1555
1744;FAC-003;DPT-0014;6.10.2022;Petrol;SCOPE 2;507.44;Liter;0.1897
1745;FAC-003;DPT-0013;11.08.2023;NATURAL GAS;Scope 2;505.4;M3;0.2581
1746;FAC-003;DPT-0013;16.05.2023;Natural Gas;SCOPE 2;825.37;M3;0.4022
1747;FAC-003;DPT-0015;12.12.2024;electricity;scope 1;427.23;m3;0.3316
1748;FAC-003;DPT-0014;24.03.2023;LPG;SCOPE 2;22.Mar;KWH;0.0151
1749;FAC-003;DPT-0011;6.05.2022;ELECTRICITY;;671.98;kWh;0.4745
1750;FAC-003;DPT-0015;04-25-2024;natural gas;;304.83;kwh;0.1287
1751;FAC-003;DPT-0012;16.09.2023;ELECTRICITY;scope 1;;m3;0.418
1752;FAC-003;DPT-0012;24.08.2022;lpg;;554.2;Liter;0.4294
1753;FAC-003;DPT-0015;22.11.2023;Electricity;;1229.47;KWH;0.5962
1754;FAC-003;DPT-0011;06-16-2023;Diesel;;332.16;m3;0.1549
1755;FAC-003;DPT-0015;11.01.2023;Diesel;scope 1;168.21;kwh;0.0469
1756;FAC-003;DPT-0013;9.08.2022;NATURAL GAS;Scope 2;834.12;LT;0.3002
1757;FAC-003;DPT-0016;27.02.2022;diesel;scope 2;649.95;kwh;0.4749
1758;FAC-003;DPT-0015;3.07.2022;DIESEL;SCOPE 2;280.06;KWH;0.0957
1759;FAC-003;DPT-0011;13.04.2023;natural gas;Scope 1;1507.36;kwh;
1760;FAC-003;DPT-0013;21.11.2023;Natural Gas;Scope 2;386.35;kwh;0.175
1761;FAC-003;DPT-0012;9.08.2022;Natural Gas;Scope 1;;m3;0.1266
1762;FAC-003;DPT-0014;9.09.2022;DIESEL;scope 2;-1699.88;kWh;
1763;FAC-003;DPT-0014;26.05.2023;electricity;SCOPE 2;1278.47;Liter;0.5861
1764;FAC-003;;14.06.2023;electricity;Scope 2;349.61;kWh;0.2783
1765;FAC-003;DPT-0012;3.02.2022;DIESEL;scope 1;unknown;kwh;
1766;FAC-003;DPT-0011;04-27-2024;LPG;;318.0;KWH;0.0907
1767;FAC-003;DPT-0016;5.08.2022;Petrol;scope 1;1619.17;M3;0.7168
1768;FAC-003;DPT-0015;18.08.2024;natural gas;SCOPE 1;1618.45;kwh;12.518
1769;FAC-003;DPT-0015;12-29-2024;lpg;SCOPE 2;2711.17;kwh;12.361
1770;FAC-003;DPT-0016;17.01.2023;electricity;SCOPE 1;3379.83;KWH;20.078
1771;FAC-003;DPT-0014;1.05.2024;Electricity;SCOPE 1;548.92;LT;0.1511
1772;FAC-003;DPT-0014;7.04.2023;electricity;scope 2;1449.38;KWH;0.3937
1773;FAC-003;DPT-0013;13.08.2022;ELECTRICITY;scope 1;141.53;kwh;0.0505
1774;FAC-003;DPT-0014;8.01.2023;Electricity;scope 2;1023.01;M3;0.4091
1775;FAC-003;DPT-0012;23.02.2024;Natural Gas;Scope 1;1204.97;m3;0.533
1776;FAC-003;DPT-0013;25.10.2024;DIESEL;scope 2;405.33;kWh;
1777;FAC-003;;13.02.2024;LPG;scope 2;521.32;KWH;0.3994
1778;FAC-003;DPT-0012;8.01.2023;Diesel;Scope 2;1625.7;kwh;0.8436
1779;FAC-003;DPT-0013;16.10.2024;natural gas;scope 1;1225.69;kwh;0.5035
1780;FAC-003;DPT-0011;21.06.2022;Petrol;scope 1;2494.42;kWh;19.494
1781;FAC-003;DPT-0012;20.04.2024;Electricity;scope 1;2312.18;Liter;
1782;FAC-003;DPT-0015;12.11.2022;electricity;SCOPE 2;189.52;kwh;0.0969
1783;FAC-003;DPT-0013;27.11.2023;Natural Gas;Scope 2;594.19;KWH;
1784;FAC-003;DPT-0011;18.11.2022;LPG;SCOPE 1;unknown;kwh;0.2104
1785;FAC-003;DPT-0012;08-19-2022;diesel;scope 1;1490.23;liter;0.7053
1786;FAC-003;DPT-0014;13.08.2022;natural gas;SCOPE 2;1095.26;kWh;0.2794
1787;FAC-003;DPT-0012;6.03.2024;Petrol;;391.75;LT;
1788;FAC-003;DPT-0013;4.02.2024;Diesel;SCOPE 2;447.47;KWH;0.3202
1789;FAC-003;DPT-0012;12.06.2024;electricity;SCOPE 1;1990.74;m3;0.713
1790;FAC-003;DPT-0011;08-19-2022;lpg;;N/A;KWH;0.4004
1791;FAC-003;DPT-0014;23.07.2023;lpg;SCOPE 1;115.91;kwh;0.0819
1792;FAC-003;DPT-0016;14.05.2024;Electricity;scope 1;361.23;kWh;0.1027
1793;FAC-003;DPT-0012;22.03.2024;ELECTRICITY;Scope 1;2824.95;Liter;16.202
1794;FAC-003;DPT-0012;1.04.2022;diesel;scope 1;1732.38;liter;13.543
1795;FAC-003;DPT-0016;12.07.2024;diesel;;299.27;kwh;
1796;FAC-003;DPT-0012;28.02.2023;Petrol;;1022.67;m3;0.3645
1797;FAC-003;DPT-0016;4.04.2024;Diesel;;1662.58;KWH;0.751
1798;FAC-003;DPT-0011;1.11.2024;Natural Gas;Scope 2;;kwh;0.055
1799;FAC-003;DPT-0015;2.08.2024;lpg;SCOPE 1;1785.11;LT;0.686
1800;FAC-003;DPT-0016;14.09.2024;Diesel;SCOPE 1;1217.69;kWh;0.3189
1801;FAC-003;DPT-0013;6.12.2024;LPG;SCOPE 2;496.07;m3;0.1737
1802;FAC-003;DPT-0014;27.10.2024;natural gas;;1352.69;m3;11.145
1803;FAC-003;DPT-0016;5.11.2022;Diesel;scope 2;1106.1;liter;
1804;FAC-003;DPT-0015;6.07.2024;NATURAL GAS;scope 1;1159.36;Liter;-
1805;FAC-003;DPT-0016;3.09.2023;Petrol;Scope 1;996.67;LT;0.6298
1806;FAC-003;DPT-0015;9.05.2022;Petrol;;433.5;LT;0.2619
1807;FAC-003;;10-16-2024;diesel;scope 2;-505.38;M3;
1808;FAC-003;;12.09.2023;Diesel;;748.74;m3;0.5478
1809;FAC-003;DPT-0016;28.12.2024;Diesel;SCOPE 2;926.51;kWh;0.4532
1810;FAC-003;DPT-0015;01-21-2022;electricity;SCOPE 1;1407.06;kWh;0.8921
1811;FAC-003;DPT-0014;6.05.2022;diesel;scope 1;;M3;14.053
1812;FAC-003;DPT-0015;25.01.2023;natural gas;;1056.52;M3;0.4045
1813;FAC-003;DPT-0012;6.08.2022;natural gas;;1390.36;m3;0.9623
1814;FAC-003;DPT-0014;7.04.2022;Natural Gas;Scope 1;-1607.24;Liter;
1815;FAC-003;DPT-0014;30.12.2023;Electricity;scope 2;1457.01;liter;11.411
1816;FAC-003;DPT-0015;26.08.2023;DIESEL;Scope 1;419.42;LT;0.2151
1817;FAC-003;DPT-0016;13.03.2022;ELECTRICITY;Scope 2;2111.27;liter;11.259
1818;FAC-003;DPT-0011;1.06.2023;Petrol;Scope 1;1903.37;liter;15.253
1819;FAC-003;DPT-0014;6.02.2024;NATURAL GAS;Scope 1;986.99;liter;0.797
1820;FAC-003;DPT-0011;5.09.2024;natural gas;;441.37;kwh;0.2015
1821;FAC-003;DPT-0011;27.08.2023;Electricity;SCOPE 2;915.84;LT;0.4113
1822;FAC-003;DPT-0013;2.04.2023;Diesel;scope 2;212.55;kwh;0.1405
1823;FAC-003;DPT-0012;17.06.2022;NATURAL GAS;scope 2;2287.81;Liter;1.001
1824;FAC-003;DPT-0015;14.01.2023;ELECTRICITY;;none;m3;0.2174
1825;FAC-003;DPT-0016;9.07.2023;LPG;Scope 2;720.07;Liter;0.3937
1826;FAC-003;DPT-0013;18.09.2023;LPG;scope 2;2185.38;kwh;0.7705
1827;FAC-003;DPT-0014;22.06.2022;ELECTRICITY;Scope 1;2021.44;Liter;11.147
1828;FAC-003;DPT-0016;07-19-2024;NATURAL GAS;;-;m3;0.6928
1829;FAC-003;DPT-0013;29.08.2023;DIESEL;SCOPE 1;2506.34;Liter;10.741
1830;FAC-003;DPT-0015;21.02.2023;natural gas;Scope 2;407.97;LT;0.1656
1831;FAC-003;;21.05.2022;Natural Gas;scope 1;1136.87;liter;0.6456
1832;FAC-003;DPT-0015;05-20-2022;electricity;;410.92;LT;0.1459
1833;FAC-003;DPT-0015;7.01.2023;DIESEL;SCOPE 2;1829.17;liter;
1834;FAC-003;DPT-0013;14.11.2024;ELECTRICITY;SCOPE 1;1787.85;Liter;0.9647
1835;FAC-003;DPT-0013;25.06.2024;electricity;;2618.36;KWH;#N/A
1836;FAC-003;DPT-0014;10.02.2024;NATURAL GAS;scope 2;895.79;kWh;0.5489
1837;FAC-003;DPT-0011;28.11.2023;Natural Gas;Scope 1;3078.41;m3;0.9768
1838;FAC-003;DPT-0013;18.04.2024;NATURAL GAS;SCOPE 2;381.68;kwh;0.2567
1839;FAC-003;DPT-0016;26.07.2024;natural gas;;861.11;kwh;0.6165
1840;FAC-003;DPT-0014;30.11.2024;diesel;SCOPE 1;393.85;kWh;0.2662
1841;FAC-003;;1.06.2022;NATURAL GAS;Scope 2;1030.88;LT;0.544
1842;FAC-003;DPT-0013;06-22-2023;ELECTRICITY;SCOPE 2;424.27;m3;0.2408
1843;FAC-003;DPT-0012;19.06.2022;lpg;Scope 2;1832.4;kWh;0.8882
1844;FAC-003;DPT-0014;3.10.2024;ELECTRICITY;SCOPE 2;1245.14;Liter;N/A
1845;FAC-003;DPT-0011;8.12.2022;DIESEL;;353.65;kWh;0.2194
1846;FAC-003;DPT-0014;5.02.2024;LPG;scope 2;1562.49;kWh;0.9392
1847;FAC-003;DPT-0016;17.09.2022;Electricity;SCOPE 1;;KWH;18.005
1848;FAC-003;DPT-0011;08-29-2024;electricity;scope 2;;Liter;10.955
1849;FAC-003;DPT-0011;31.12.2024;diesel;SCOPE 1;265.61;kWh;0.1764
1850;FAC-003;;31.03.2024;natural gas;;801.81;m3;0.3025
1851;FAC-003;DPT-0014;1.04.2024;Natural Gas;Scope 2;1443.4;Liter;0.9586
1852;FAC-003;DPT-0016;31.05.2024;natural gas;SCOPE 2;;LT;0.336
1853;FAC-003;DPT-0013;25.09.2024;electricity;scope 2;377.38;Liter;0.2801
1854;FAC-003;DPT-0014;29.03.2022;diesel;Scope 2;1968.92;LT;0.9564
